meal_name,diet_type,cost_inr,ingredients,num_ingredients,calories,prep_time,protein,fat,carbs,vegan,vegetarian,keto,paleo,gluten_free,mediterranean,is_healthy,recipe_steps
Indonesian Nasi Goreng,Non-veg,210,"jasmine rice, egg, chicken, shrimp paste, kecap manis, spring onion, cucumber",0.8181818182,0.457143,0.176471,0.4,0.290909,1.0,0,0,0,0,1,0,0,
Malaysian Laksa,Non-veg,240,"rice noodles, coconut milk, prawn, tofu puffs, bean sprouts, laksa paste, lime",0.5454545455,0.485714,0.294118,0.509091,0.472727,0.8,0,0,0,0,1,0,0,
Filipino Adobo Chicken,Non-veg,200,"chicken, soy sauce, vinegar, garlic, bay leaf, peppercorns, oil",0.9090909091,0.328571,0.411765,0.654545,0.363636,0.181818,0,0,0,0,1,0,1,
Singapore Noodles,Non-veg,220,"rice vermicelli, prawns, egg, curry powder, bean sprouts, spring onion, soy sauce",0.8181818182,0.342857,0.176471,0.472727,0.218182,0.945455,0,0,0,0,1,0,1,
Beef Bolognese,Non-veg,290,"minced beef, tomato, onion, carrot, celery, red wine, pasta",0.0,0.6,0.529412,0.618182,0.4,0.981818,0,0,0,0,0,1,0,
Pesto Pasta,Veg,210,"pasta, basil pesto, cherry tomatoes, parmesan, pine nuts, olive oil, garlic",0.4545454545,0.542857,0.176471,0.327273,0.472727,1.0,0,1,0,0,0,1,0,
Chicken Marsala,Non-veg,280,"chicken breast, marsala wine, mushrooms, butter, shallots, chicken broth, parsley",0.8181818182,0.371429,0.294118,0.727273,0.363636,0.254545,0,0,0,0,1,0,1,
Lamb Tagine,Non-veg,310,"lamb shoulder, apricots, chickpeas, ras el hanout, onion, cinnamon, honey",0.2727272727,0.514286,1.0,0.690909,0.4,0.8,0,0,0,0,1,0,1,
Beef Bourguignon,Non-veg,330,"beef chuck, red wine, mushrooms, pearl onions, carrot, bacon, thyme",0.4545454545,0.542857,1.0,0.654545,0.509091,0.4,0,0,0,0,1,0,0,
Chicken Cacciatore,Non-veg,250,"chicken pieces, canned tomatoes, olives, onion, bell pepper, rosemary, white wine",0.2727272727,0.328571,0.588235,0.690909,0.327273,0.327273,0,0,0,0,1,1,1,
Ratatouille,Veg,190,"zucchini, eggplant, bell peppers, tomatoes, onion, thyme, olive oil",0.7272727273,0.085714,0.529412,0.109091,0.218182,0.509091,1,1,0,1,1,1,1,
French Onion Soup,Veg,200,"onions, beef broth, baguette, gruyere cheese, butter, thyme, white wine",0.7272727273,0.285714,0.588235,0.254545,0.290909,0.763636,0,1,0,0,0,1,0,
Risotto Funghi,Veg,240,"arborio rice, porcini mushrooms, parmesan, white wine, shallots, butter, vegetable broth",0.8181818182,0.457143,0.411765,0.254545,0.327273,1.0,0,1,0,0,1,1,0,
Osso Buco,Non-veg,340,"veal shank, gremolata, white wine, carrot, celery, onion, canned tomatoes",0.3636363636,0.485714,0.882353,0.8,0.436364,0.327273,0,0,0,0,1,1,1,
Coq au Vin,Non-veg,310,"chicken, red wine, mushrooms, bacon lardons, pearl onions, thyme, chicken stock",0.1818181818,0.457143,0.882353,0.727273,0.472727,0.290909,0,0,0,0,1,1,0,
Beef Stew,Non-veg,290,"beef chuck, potato, carrot, onion, celery, beef broth, thyme",0.3636363636,0.4,0.882353,0.654545,0.327273,0.654545,0,0,0,0,1,0,1,
Zucchini Frittata,Veg,180,"eggs, zucchini, onion, parmesan, olive oil, basil, salt",0.4545454545,0.157143,0.176471,0.363636,0.363636,0.145455,0,1,0,0,1,1,1,
Spanish Tortilla,Veg,175,"potato, egg, onion, olive oil, salt, parsley, paprika",0.3636363636,0.257143,0.294118,0.290909,0.363636,0.581818,0,1,0,0,1,1,0,
Swedish Kottbullar,Non-veg,240,"minced pork beef mix, cream sauce, lingonberry, potato, allspice, onion, butter",0.4545454545,0.514286,0.352941,0.545455,0.545455,0.581818,0,0,0,0,0,0,0,
Portuguese Caldo Verde,Non-veg,200,"chorizo, kale, potato, onion, olive oil, garlic, vegetable broth",0.0909090909,0.285714,0.411765,0.327273,0.290909,0.690909,0,0,0,0,1,1,0,
Polish Bigos,Non-veg,220,"sauerkraut, pork, kielbasa, mushrooms, onion, tomato paste, bay leaf",0.7272727273,0.371429,0.647059,0.509091,0.4,0.436364,0,0,0,0,1,0,0,
Hungarian Goulash,Non-veg,250,"beef, onion, paprika, carrot, potato, beef broth, tomato paste",0.1818181818,0.371429,0.823529,0.581818,0.327273,0.654545,0,0,0,0,1,0,1,
Georgian Chakhokhbili,Non-veg,240,"chicken, tomatoes, onion, fresh herbs, garlic, butter, adjika",0.9090909091,0.314286,0.470588,0.690909,0.327273,0.254545,0,0,0,0,1,0,1,
Iranian Ghormeh Sabzi,Non-veg,270,"lamb, kidney beans, fenugreek leaves, parsley, dried lime, saffron, oil",0.3636363636,0.4,0.764706,0.654545,0.4,0.509091,0,0,0,0,1,0,1,
Russian Solyanka,Non-veg,220,"beef, olives, gherkins, tomato paste, onion, lemon, capers",0.7272727273,0.285714,0.529412,0.509091,0.327273,0.4,0,0,0,0,1,0,0,
Black Bean Tacos,Veg,170,"black beans, corn tortillas, avocado, salsa, jalapeño, lime, coriander",0.3636363636,0.314286,0.176471,0.290909,0.254545,1.0,1,1,0,0,1,0,1,
Chicken Enchiladas,Non-veg,230,"chicken, corn tortillas, enchilada sauce, cheddar, onion, sour cream, coriander",0.8181818182,0.485714,0.411765,0.654545,0.4,0.8,0,0,0,0,1,0,0,
Beef Chilli,Non-veg,230,"minced beef, kidney beans, canned tomatoes, onion, cumin, chipotle, bell pepper",0.9090909091,0.4,0.470588,0.618182,0.363636,0.690909,0,0,0,0,1,0,1,
Corn Black Bean Bowl,Veg,185,"corn, black beans, quinoa, avocado, salsa verde, lime, coriander",0.1818181818,0.342857,0.176471,0.290909,0.254545,1.0,1,1,0,0,1,0,1,
Chicken Burrito Bowl,Non-veg,220,"chicken, brown rice, black beans, corn, avocado, tomato, sour cream",0.0,0.542857,0.235294,0.690909,0.327273,1.0,0,0,0,0,1,0,1,
Turkey Meatballs Marinara,Non-veg,220,"minced turkey, egg, breadcrumbs, parmesan, garlic, tomato sauce, basil",0.4545454545,0.342857,0.294118,0.654545,0.290909,0.509091,0,0,0,0,0,0,1,
Peruvian Lomo Saltado,Non-veg,260,"beef sirloin, tomato, onion, soy sauce, vinegar, fries, coriander",1.0,0.542857,0.294118,0.618182,0.363636,0.909091,0,0,0,0,0,0,0,
Chimichurri Skirt Steak,Non-veg,320,"beef skirt steak, chimichurri sauce, garlic, parsley, vinegar, olive oil, chilli",0.8181818182,0.457143,0.176471,0.8,0.509091,0.109091,0,0,1,1,1,0,1,
Brazilian Moqueca,Non-veg,280,"fish fillet, coconut milk, tomato, onion, dende oil, coriander, lime",0.7272727273,0.314286,0.352941,0.618182,0.4,0.290909,0,0,0,0,1,0,1,
Cuban Ropa Vieja,Non-veg,250,"shredded beef, tomato, bell pepper, onion, garlic, cumin, olives",0.8181818182,0.371429,0.647059,0.690909,0.290909,0.4,0,0,0,0,1,0,1,
Jamaican Jerk Chicken,Non-veg,230,"chicken, scotch bonnet, allspice, thyme, soy sauce, ginger, lime",0.7272727273,0.314286,0.529412,0.727273,0.290909,0.181818,0,0,0,1,1,0,1,
Colombian Ajiaco,Non-veg,220,"chicken, three potato varieties, corn, guasca herb, cream, capers, avocado",0.7272727273,0.342857,0.647059,0.545455,0.254545,0.763636,0,0,0,0,1,0,1,
Egg Bacon Cups,Non-veg,160,"eggs, bacon, heavy cream, cheddar, spinach, butter, chives",0.8181818182,0.257143,0.176471,0.472727,0.509091,0.072727,0,0,1,0,1,0,0,
Cauliflower Steak,Veg,170,"cauliflower, olive oil, garlic, parmesan, rosemary, lemon, paprika",0.1818181818,0.057143,0.294118,0.181818,0.254545,0.327273,0,1,1,0,1,0,1,
Zucchini Noodle Alfredo,Veg,190,"zucchini, heavy cream, parmesan, garlic, butter, nutmeg, black pepper",0.7272727273,0.228571,0.176471,0.218182,0.509091,0.254545,0,1,1,0,1,0,1,
Keto Chicken Thighs,Non-veg,210,"chicken thighs, butter, garlic, rosemary, lemon, olive oil, dijon mustard",0.5454545455,0.314286,0.294118,0.654545,0.509091,0.072727,0,0,1,1,1,0,1,
Broccoli Cheddar Soup,Veg,190,"broccoli, cheddar, heavy cream, onion, garlic, vegetable broth, butter",0.4545454545,0.257143,0.235294,0.290909,0.509091,0.254545,0,1,1,0,1,0,0,
Steak Wedge Salad,Non-veg,280,"beef sirloin, iceberg lettuce, blue cheese, bacon, cherry tomatoes, olive oil, walnuts",0.7272727273,0.342857,0.176471,0.654545,0.509091,0.218182,0,0,1,1,1,0,1,
Smoked Salmon Avocado,Non-veg,270,"smoked salmon, avocado, cucumber, cream cheese, lemon, capers, dill",0.2727272727,0.228571,0.058824,0.509091,0.472727,0.145455,0,0,1,0,1,1,1,
Egg Salad Lettuce Wraps,Veg,160,"hard boiled eggs, mayo, mustard, celery, lettuce, chives, paprika",0.3636363636,0.114286,0.117647,0.327273,0.363636,0.109091,0,1,1,0,1,0,1,
Lentil Bolognese,Veg,180,"green lentils, canned tomatoes, carrot, celery, red wine, pasta, basil",0.8181818182,0.4,0.411765,0.4,0.145455,1.0,1,1,0,0,0,1,1,
Roasted Chickpea Tacos,Veg,165,"chickpeas, corn tortillas, red cabbage, lime, avocado, chipotle, cumin",0.0,0.314286,0.294118,0.290909,0.218182,1.0,1,1,0,0,1,0,1,
Mushroom Bourguignon,Veg,210,"portobello mushrooms, red wine, carrot, onion, thyme, lentils, vegetable broth",0.7272727273,0.228571,0.647059,0.290909,0.145455,0.8,1,1,0,0,1,1,1,
Black Bean Soup,Veg,150,"black beans, onion, garlic, cumin, vegetable broth, lime, coriander",0.8181818182,0.2,0.352941,0.327273,0.109091,0.909091,1,1,0,0,1,0,1,
Tempeh Stir Fry,Veg,200,"tempeh, bok choy, carrot, soy sauce, ginger, sesame oil, brown rice",0.5454545455,0.371429,0.176471,0.472727,0.290909,0.909091,1,1,0,0,1,0,1,
Jackfruit Pulled Tacos,Veg,175,"jackfruit, taco seasoning, corn tortillas, avocado, red onion, lime, jalapeño",0.9090909091,0.257143,0.235294,0.145455,0.181818,1.0,1,1,0,0,1,0,1,
Sweet Potato Black Bean Burrito,Veg,170,"sweet potato, black beans, brown rice, avocado, salsa, cumin, lime",0.0,0.457143,0.352941,0.254545,0.181818,1.0,1,1,0,0,1,0,1,
White Bean Minestrone,Veg,160,"white beans, zucchini, pasta, tomatoes, carrot, basil, vegetable broth",0.2727272727,0.257143,0.411765,0.290909,0.109091,1.0,1,1,0,0,0,1,1,
Edamame Soba Bowl,Veg,190,"soba noodles, edamame, carrot, cucumber, soy sauce, sesame oil, ginger",0.2727272727,0.314286,0.176471,0.363636,0.181818,1.0,1,1,0,0,0,0,1,
Balinese Tempeh Sambal,Veg,175,"tempeh, sambal sauce, shallots, garlic, lime, palm sugar, kaffir lime leaves",0.2727272727,0.214286,0.176471,0.363636,0.290909,0.509091,1,1,0,0,1,0,1,
Tofu Tikka Masala,Veg,190,"firm tofu, tomato puree, cream, onion, tikka masala, ginger, garlic",0.2727272727,0.257143,0.294118,0.4,0.327273,0.436364,0,1,0,0,1,0,1,
Egyptian Ful Medames,Veg,120,"fava beans, lemon juice, garlic, cumin, olive oil, parsley, tomato",0.1818181818,0.2,0.176471,0.327273,0.181818,0.8,1,1,0,0,1,0,1,
Tuscan Bean Soup,Veg,180,"cannellini beans, kale, tomatoes, rosemary, garlic, olive oil, vegetable broth",0.9090909091,0.2,0.294118,0.327273,0.145455,0.8,1,1,0,0,1,1,1,
Moroccan Harira,Non-veg,200,"lamb, lentils, chickpeas, tomato, cinnamon, coriander, lemon",0.6363636364,0.371429,0.529412,0.545455,0.290909,0.8,0,0,0,0,1,0,1,
Pumpkin Coconut Soup,Veg,160,"pumpkin, onion, vegetable broth, coconut milk, ginger, cumin, olive oil",0.8181818182,0.085714,0.294118,0.109091,0.218182,0.581818,1,1,0,0,1,0,1,
Clam Chowder,Non-veg,230,"clams, potato, heavy cream, bacon, onion, celery, thyme",0.1818181818,0.4,0.352941,0.4,0.509091,0.545455,0,0,0,0,1,0,0,
Tom Yum Soup,Non-veg,210,"prawns, lemongrass, galangal, kaffir lime leaves, mushrooms, fish sauce, lime",0.3636363636,0.057143,0.235294,0.4,0.145455,0.218182,0,0,0,0,1,0,1,
Lemon Chicken Orzo,Non-veg,220,"chicken, orzo pasta, spinach, lemon, garlic, chicken broth, parmesan",0.7272727273,0.4,0.352941,0.618182,0.254545,0.836364,0,0,0,0,0,1,1,
Sri Lankan Dhal Curry,Veg,120,"red lentils, coconut milk, pandan leaf, curry leaves, mustard seeds, turmeric, tomato",0.0,0.228571,0.294118,0.327273,0.254545,0.727273,1,1,0,0,1,0,1,
Ethiopian Doro Wat,Non-veg,250,"chicken, berbere spice, onion, niter kibbeh, egg, garlic, ginger",0.0909090909,0.4,0.647059,0.690909,0.436364,0.327273,0,0,0,0,1,0,1,
Jollof Rice Chicken,Non-veg,220,"rice, chicken, tomato, onion, scotch bonnet, bay leaf, vegetable broth",0.8181818182,0.514286,0.529412,0.545455,0.254545,1.0,0,0,0,0,1,0,1,
Nepalese Dal Bhat,Veg,120,"toor dal, basmati rice, spinach, mustard oil, fenugreek, turmeric, tomato",0.5454545455,0.4,0.352941,0.363636,0.145455,1.0,1,1,0,0,1,0,1,
Afghan Kabuli Pulao,Non-veg,260,"lamb, basmati rice, carrot, raisins, cardamom, rose water, fried onion",0.2727272727,0.6,0.705882,0.545455,0.363636,1.0,0,0,0,0,1,0,0,
Poke Bowl,Non-veg,260,"salmon, sushi rice, edamame, cucumber, avocado, soy sauce, sesame seeds",0.1818181818,0.485714,0.117647,0.618182,0.363636,0.945455,0,0,0,0,1,0,1,
Farro Grain Bowl,Veg,200,"farro, roasted vegetables, kale, goat cheese, walnuts, balsamic, lemon",0.1818181818,0.4,0.352941,0.290909,0.327273,1.0,0,1,0,0,0,0,1,
Warm Lentil Salad,Veg,165,"green lentils, roasted beetroot, goat cheese, walnuts, arugula, dijon vinaigrette, thyme",0.9090909091,0.285714,0.294118,0.363636,0.290909,0.727273,0,1,0,0,1,0,1,
Chicken Caesar Salad,Non-veg,220,"chicken breast, romaine, parmesan, croutons, caesar dressing, lemon, anchovy",0.2727272727,0.342857,0.176471,0.690909,0.4,0.4,0,0,0,0,0,0,1,
Soba Noodle Salad,Veg,190,"soba noodles, edamame, carrot, cucumber, sesame dressing, spring onion, nori",1.0,0.257143,0.176471,0.254545,0.145455,1.0,1,1,0,0,1,0,1,
Beef Bulgogi Bowl,Non-veg,250,"beef, sesame oil, soy sauce, pear, garlic, ginger, steamed rice",0.4545454545,0.485714,0.235294,0.618182,0.327273,0.981818,0,0,0,0,1,0,1,
Nicoise Tuna Wrap,Non-veg,210,"tuna, green beans, olives, egg, tomato, whole wheat wrap, dijon",0.3636363636,0.314286,0.117647,0.618182,0.290909,0.581818,0,0,0,0,0,1,1,
Roasted Beet Salad,Veg,170,"beetroot, arugula, goat cheese, candied walnuts, orange, olive oil, balsamic",0.9090909091,0.2,0.411765,0.181818,0.327273,0.654545,0,1,0,0,1,1,1,
Spicy Chickpea Couscous,Veg,165,"roasted chickpeas, couscous, cucumber, tomato, feta, harissa, lemon",0.1818181818,0.328571,0.235294,0.327273,0.218182,1.0,0,1,0,0,0,1,1,
Waldorf Chicken Salad,Non-veg,210,"chicken breast, apple, celery, walnuts, grapes, mayo, lettuce",1.0,0.257143,0.117647,0.581818,0.363636,0.4,0,0,0,0,1,0,1,
Tuna Nicoise Platter,Non-veg,230,"tuna steak, green beans, potato, olives, egg, tomato, dijon vinaigrette",0.9090909091,0.314286,0.235294,0.690909,0.290909,0.509091,0,0,0,0,1,1,1,
Peruvian Causa,Veg,180,"yellow potato, avocado, lime, chilli paste, onion, olives, egg",0.4545454545,0.257143,0.352941,0.181818,0.290909,0.872727,0,1,0,0,1,0,1,
Spiced Quinoa Bowl,Veg,175,"quinoa, roasted chickpeas, avocado, cherry tomatoes, spinach, lemon, olive oil",1.0,0.314286,0.235294,0.290909,0.254545,0.945455,1,1,0,0,1,0,1,
Grilled Swordfish,Non-veg,310,"swordfish steak, lemon, olive oil, capers, garlic, parsley, cherry tomatoes",0.4545454545,0.228571,0.176471,0.727273,0.290909,0.072727,0,0,0,1,1,1,1,
Shrimp Scampi Pasta,Non-veg,270,"prawns, spaghetti, butter, garlic, white wine, lemon, parsley",0.1818181818,0.485714,0.235294,0.581818,0.363636,0.836364,0,0,0,0,0,1,0,
Baked Cod Salsa Verde,Non-veg,240,"cod fillet, salsa verde, lime, garlic, cumin, olive oil, coriander",0.5454545455,0.157143,0.235294,0.654545,0.181818,0.181818,0,0,0,1,1,0,1,
Crab Fried Rice,Non-veg,280,"crab meat, jasmine rice, egg, spring onion, soy sauce, sesame oil, ginger",0.2727272727,0.4,0.176471,0.472727,0.254545,0.981818,0,0,0,0,1,0,1,
Prawn Pad Thai,Non-veg,230,"rice noodles, prawns, egg, bean sprouts, peanuts, tamarind, fish sauce",0.8181818182,0.457143,0.176471,0.545455,0.254545,1.0,0,0,0,0,1,0,1,
Moroccan Spiced Salmon,Non-veg,290,"salmon, chermoula paste, lemon, chickpeas, spinach, olive oil, cumin",0.6363636364,0.314286,0.235294,0.727273,0.363636,0.327273,0,0,0,0,1,1,1,
Thai Fish Cakes,Non-veg,220,"white fish, red curry paste, kaffir lime, green beans, egg, fish sauce, oil",0.1818181818,0.2,0.235294,0.509091,0.254545,0.254545,0,0,0,0,1,0,1,
Steamed Mussels,Non-veg,250,"mussels, white wine, garlic, shallots, butter, parsley, crusty bread",0.0909090909,0.257143,0.176471,0.472727,0.254545,0.4,0,0,0,0,1,1,1,
Sri Lankan Fish Ambul Thiyal,Non-veg,250,"tuna, goraka, black pepper, curry leaves, pandan, turmeric, oil",0.7272727273,0.228571,0.352941,0.690909,0.254545,0.145455,0,0,0,0,1,0,1,
Salmon Teriyaki Bowl,Non-veg,290,"salmon fillet, teriyaki glaze, sushi rice, edamame, avocado, sesame, spring onion",0.1818181818,0.457143,0.176471,0.654545,0.4,0.909091,0,0,0,0,1,0,1,
Shakshuka Verde,Veg,165,"eggs, tomatillos, jalapeño, onion, cilantro, feta, olive oil",0.2727272727,0.157143,0.235294,0.327273,0.327273,0.290909,0,1,0,0,1,0,1,
Mushroom Omelette,Veg,150,"eggs, portobello mushrooms, cheddar, onion, olive oil, thyme, parsley",0.9090909091,0.2,0.117647,0.4,0.436364,0.145455,0,1,1,0,1,0,1,
Smoked Salmon Scramble,Non-veg,220,"eggs, smoked salmon, cream cheese, chives, butter, capers, sourdough",0.5454545455,0.342857,0.117647,0.545455,0.509091,0.327273,0,0,0,0,0,0,1,
Spinach Egg White Omelette,Veg,145,"egg whites, spinach, feta, cherry tomatoes, onion, olive oil, oregano",0.4545454545,0.028571,0.082353,0.472727,0.145455,0.145455,0,1,1,0,1,1,1,
Avocado Egg Toast,Veg,160,"sourdough, avocado, poached egg, chilli flakes, lemon, microgreens, olive oil",1.0,0.257143,0.058824,0.290909,0.4,0.581818,0,1,0,0,0,0,1,
Veggie Hummus Sandwich,Veg,155,"whole wheat bread, hummus, cucumber, tomato, spinach, red onion, feta",0.9090909091,0.257143,0.058824,0.254545,0.181818,0.909091,0,1,0,0,0,1,1,
Turkey Avocado Wrap,Non-veg,190,"turkey breast, avocado, whole wheat wrap, lettuce, tomato, mustard, onion",0.9090909091,0.342857,0.058824,0.618182,0.290909,0.690909,0,0,0,0,0,0,1,
Chicken Avocado Wrap,Non-veg,200,"grilled chicken, avocado, whole wheat wrap, salsa, lettuce, jalapeño, lime",0.8181818182,0.371429,0.117647,0.654545,0.290909,0.690909,0,0,0,0,0,0,1,
Caprese Panini,Veg,170,"ciabatta, fresh mozzarella, tomato, basil pesto, olive oil, balsamic, arugula",0.7272727273,0.314286,0.058824,0.290909,0.363636,0.763636,0,1,0,0,0,1,1,
Uzbek Plov,Non-veg,250,"lamb, basmati rice, carrot, onion, cumin, barberries, cottonseed oil",0.2727272727,0.6,0.647059,0.509091,0.436364,1.0,0,0,0,0,1,0,0,
Argentinian Locro,Non-veg,240,"white corn, chorizo, pork, squash, onion, sweet paprika, vegetable broth",0.0,0.457143,0.764706,0.509091,0.363636,0.945455,0,0,0,0,1,0,0,
Vegetable Paella,Veg,220,"calasparra rice, bell peppers, artichoke, tomato, saffron, paprika, olive oil",0.4545454545,0.4,0.352941,0.181818,0.181818,1.0,1,1,0,0,1,1,1,
Seafood Paella,Non-veg,320,"calasparra rice, prawns, mussels, squid, tomato, saffron, olive oil",1.0,0.457143,0.470588,0.581818,0.218182,1.0,0,0,0,0,1,1,1,
Lentil Shepherd Pie,Veg,185,"green lentils, mashed potato, carrot, onion, celery, vegetable broth, thyme",1.0,0.314286,0.529412,0.327273,0.145455,1.0,1,1,0,0,1,0,1,
Veggie Shakshuka,Veg,155,"eggs, harissa, roasted peppers, onion, garlic, cumin, feta",0.7272727273,0.171429,0.235294,0.327273,0.327273,0.327273,0,1,0,0,1,1,1,
Uzbek Shurpa Soup,Non-veg,230,"lamb ribs, potato, carrot, onion, tomato, bell pepper, coriander",0.4545454545,0.342857,0.588235,0.509091,0.327273,0.654545,0,0,0,0,1,0,1,
Chicken Piccata,Non-veg,260,"chicken breast, capers, lemon juice, white wine, butter, garlic, parsley",0.4545454545,0.257143,0.176471,0.727273,0.327273,0.145455,0,0,0,0,1,0,1,
Roasted Vegetable Tart,Veg,200,"shortcrust pastry, zucchini, tomato, goat cheese, egg, thyme, olive oil",0.7272727273,0.371429,0.470588,0.254545,0.436364,0.763636,0,1,0,0,0,1,1,
Lamb Kofta Platter,Non-veg,260,"minced lamb, cumin, coriander, onion, garlic, yogurt, flatbread",0.6363636364,0.428571,0.294118,0.618182,0.472727,0.509091,0,0,0,0,0,1,1,
Mushroom Risotto,Veg,230,"arborio rice, mixed mushrooms, shallots, white wine, parmesan, butter, thyme",0.4545454545,0.442857,0.411765,0.254545,0.327273,1.0,0,1,0,0,1,1,0,
Chicken Tikka Bowl,Non-veg,220,"chicken, tikka marinade, basmati rice, cucumber raita, mint chutney, onion, lemon",0.3636363636,0.4,0.352941,0.690909,0.254545,0.8,0,0,0,0,1,0,1,
Roasted Cauliflower Soup,Veg,160,"cauliflower, onion, garlic, vegetable broth, cream, cumin, olive oil",0.0909090909,0.114286,0.352941,0.145455,0.218182,0.472727,0,1,0,0,1,0,1,
Chicken Shawarma Rice,Non-veg,230,"chicken thigh, shawarma spice, basmati rice, garlic sauce, cucumber, tomato, parsley",0.1818181818,0.457143,0.352941,0.690909,0.290909,0.836364,0,0,0,0,1,1,1,
